scan_speed_m_s,length_mm,length_ahead_mm,length_behind_mm,width_mm,depth_mm,,,,
0,0.245614035,0.12406015,0.121553885,0.245614035,0.120300752,0.5,0.122807018,0.001253133,0.613524418
0.1,0.220551378,0.098997494,0.121553885,0.215538847,0.110275689,0.411823411,0.090828221,0.008169273,
0.2,0.205513784,0.0839599,0.121553885,0.205513784,0.100250627,0.380022947,0.078099954,0.005859946,
0.3,0.195488722,0.073934837,0.121553885,0.185463659,0.090225564,0.357296845,0.069847504,0.004087334,
0.4,0.19047619,0.068922306,0.121553885,0.175438596,0.085213033,0.339197043,0.064608961,0.004313345,
0.5,0.185463659,0.063909774,0.121553885,0.165413534,0.080200501,0.324012087,0.060092467,0.003817307,
0.6,0.180451128,0.058897243,0.121553885,0.155388471,0.07518797,0.310869785,0.056096803,0.00280044,
0.7,0.175438596,0.053884712,0.121553885,0.155388471,0.070175439,0.299255206,0.052500913,0.001383798,
0.8,0.170426065,0.04887218,0.121553885,0.145363409,0.070175439,0.28883488,0.049224992,0.000352812,
0.9,0.170426065,0.04887218,0.121553885,0.145363409,0.065162907,0.279378566,0.04761339,0.001258791,
1,0.165413534,0.043859649,0.121553885,0.135338346,0.060150376,0.270719622,0.044780689,0.00092104,
1.1,0.165413534,0.043859649,0.121553885,0.135338346,0.060150376,0.262732988,0.043459592,0.000400057,
1.2,0.160401003,0.038847118,0.121553885,0.125313283,0.060150376,0.255322071,0.040953916,0.002106798,
1.3,0.160401003,0.038847118,0.121553885,0.125313283,0.055137845,0.248410504,0.039845294,0.000998176,
1.4,0.160401003,0.038847118,0.121553885,0.125313283,0.055137845,0.241936723,0.038806893,4.02249E-05,
1.5,0.155388471,0.033834586,0.121553885,0.115288221,0.050125313,0.235850284,0.036648415,0.002813829,
1.6,0.155388471,0.033834586,0.121553885,0.115288221,0.050125313,0.230109268,0.035756327,0.001921741,
1.7,0.155388471,0.033834586,0.121553885,0.115288221,0.050125313,0.224678418,0.034912436,0.001077849,
1.8,0.155388471,0.033834586,0.121553885,0.115288221,0.050125313,0.219527765,0.034112084,0.000277497,
1.9,0.155388471,0.033834586,0.121553885,0.105263158,0.045112782,0.214631595,0.033351275,0.000483311,
2,0.15037594,0.028822055,0.121553885,0.105263158,0.045112782,0.209967665,0.031574085,0.00275203,
,,,,,,,,0.002242321,
