scan_speed_m_s,length_mm,length_ahead_mm,length_behind_mm,width_mm,depth_mm,,,,0.712,,
0,0.325814536,0.164160401,0.161654135,0.325814536,0.165413534,0.503846154,0.5,0.162907268,0.712,0.001253133,0.007633588
0.1,0.285714286,0.12406015,0.161654135,0.285714286,0.140350877,0.434210526,0.399196561,0.11405616,0.712,0.01000399,0.080638224
0.2,0.26566416,0.104010025,0.161654135,0.255639098,0.125313283,0.391509434,0.363650055,0.096608787,0.712,0.007401238,0.071158895
0.3,0.255639098,0.093984962,0.161654135,0.235588972,0.115288221,0.367647059,0.338535729,0.086542968,0.712,0.007441994,0.079182817
0.4,0.245614035,0.0839599,0.161654135,0.22556391,0.105263158,0.341836735,0.318715788,0.078281071,0.712,0.005678829,0.067637396
0.5,0.235588972,0.073934837,0.161654135,0.205513784,0.100250627,0.313829787,0.302217836,0.07119919,0.712,0.002735648,0.037000792
0.6,0.230576441,0.068922306,0.161654135,0.195488722,0.090225564,0.298913043,0.288038822,0.066414966,0.712,0.002507339,0.036379213
0.7,0.22556391,0.063909774,0.161654135,0.185463659,0.085213033,0.283333333,0.275587769,0.062162655,0.712,0.00174712,0.027337285
0.8,0.220551378,0.058897243,0.161654135,0.185463659,0.080200501,0.267045455,0.264482725,0.05833203,0.712,0.000565213,0.009596603
0.9,0.215538847,0.053884712,0.161654135,0.175438596,0.080200501,0.25,0.254460493,0.054846121,0.712,0.00096141,0.017841972
1,0.215538847,0.053884712,0.161654135,0.165413534,0.07518797,0.25,0.245330946,0.052878349,0.712,0.001006363,0.018676217
1.1,0.210526316,0.04887218,0.161654135,0.165413534,0.070175439,0.232142857,0.236951671,0.049884562,0.712,0.001012382,0.020714888
1.2,0.210526316,0.04887218,0.161654135,0.155388471,0.070175439,0.232142857,0.229212879,0.048255343,0.712,0.000616837,0.012621442
1.3,0.205513784,0.043859649,0.161654135,0.155388471,0.065162907,0.213414634,0.222027932,0.045629801,0.712,0.001770152,0.040359455
1.4,0.205513784,0.043859649,0.161654135,0.145363409,0.065162907,0.213414634,0.215327115,0.04425269,0.712,0.000393041,0.008961339
1.5,0.205513784,0.043859649,0.161654135,0.145363409,0.060150376,0.213414634,0.209053406,0.042963357,0.712,0.000896293,0.020435469
1.6,0.200501253,0.038847118,0.161654135,0.145363409,0.060150376,0.19375,0.203159507,0.040733736,0.712,0.001886618,0.048565199
1.7,0.200501253,0.038847118,0.161654135,0.135338346,0.055137845,0.19375,0.197605709,0.039620192,0.712,0.000773074,0.019900433
1.8,0.200501253,0.038847118,0.161654135,0.135338346,0.055137845,0.19375,0.192358315,0.038568083,0.712,0.000279035,0.007182889
1.9,0.195488722,0.033834586,0.161654135,0.135338346,0.055137845,0.173076923,0.187388467,0.036632332,0.712,0.002797745,0.082688922
2,0.195488722,0.033834586,0.161654135,0.125313283,0.050125313,0.173076923,0.182671241,0.035710167,0.712,0.001875581,0.055433839
,,,,,,,,,,,0.036664137
